Ano,Município,Nome Oficial do Parque,Valor Conveniado,Valor Executado,Status,Data de Assinatura do Convênio,Data de Início das Obras,Data de Entrega,Área,Endereço,Coordenada x ,Coordenada y,Imagem,Maps,Habitantes
2019,Maria Helena,,"R$ 1.267.420,18","R$ 1.267.420,18",Concluído,13/12/2019,25/05/2020,28/03/2023,"19.355,60","R. Guaíra, 68, Maria Helena, PR, 87480-000","-23,61860950","-53,20954530",Git,,5.872
2019,Marilena,,"R$ 1.022.519,90","R$ 1.042.649,63",Concluído,17/12/2019,29/07/2020,16/08/2023,"12.284,00","Ipanema, Marilena - PR, 87960-000","-22,66683250","-53,09260930",,,7.220
2025,Mariluz,Parque Urbano Mariluz,"R$ 1.974.456,44",-,,,,,"9.927,75","Mariluz, PR, 87470-000","-24,01393180608971","-53,143767121454566",,"https://www.google.com/maps/place/Parque+Urbano+Mariluz/@-24.0137973,-53.144483,203m/data=!3m1!1e3!4m15!1m8!3m7!1s0x94f2e9701ebb088f:0x511ec214bdbe2a97!2sMariluz,+PR,+87470-000!3b1!8m2!3d-24.0074176!4d-53.1479115!16s%2Fg%2F1yw0_r5sb!3m5!1s0x94f2e918237342f3:0xe69f7d7509391a0c!8m2!3d-24.0139757!4d-53.143987!16s%2Fg%2F11thc0y2s6?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",9.846
2019,Maringá,,"R$ 1.799.211,97","R$ 1.799.211,97",Concluído,13/12/2019,29/06/2020,15/03/2022,"29.308,16","R. Gralha-Azul, 2837 - Conj. Res. Ney Braga, Maringá - PR, 87075-120","-23,39467660","-51,96492860",,,454.146
2021,Marquinho,,"R$ 783.228,58","R$ 783.228,58",Concluído,02/12/2021,05/04/2022,18/12/2024,"30.000,00","Estr. Vicinal, 420, CEP: 85168-000","-25,11801700","-52,27123000",,,4.348
2019,Marumbi,,"R$ 507.002,88","R$ 507.002,88",Concluído,13/12/2019,17/06/2020,17/01/2023,"28.362,40","R. Mal. Floriano Peixoto, Marumbi - PR, 86910-000","-23,70816180","-51,64957810",,,4.700
2025,Mirador,,"R$ 857.227,25","R$ 857.227,25",Em Andamento,13/11/2025,26/01/2026,-,"3.276,04","Av. São Francisco, Mirador-PR, CEP.: 87.840-00","-23,26094349971897","-52,774759926983236",,,2.240
2020,Moreira Sales,,"R$ 776.031,71","R$ 776.031,71",Concluído,13/05/2020,19/06/2020,15/10/2021,"6.548,40","R. Otto Macedo, 2, CEP: 87370-000","-24,05236800","-53,00447800",,,11.170
2021,Moreira Sales,,"R$ 1.645.824,39","R$ 1.759.079,96",Em Andamento,07/12/2021,29/04/2022,-,"9.888,20","R. Tibagi, 798 - Paraná d'Oeste, CEP: 87370-000","-24,11159900","-52,88641700",,,11.170
2020,Nova Londrina,,"R$ 1.632.652,34","R$ 1.688.751,94",Concluído,13/05/2020,17/07/2020,06/04/2026,"40.000,00",CEP: 87970-000,"-22,60401400","-53,01710500",,,12.911
2019,Nova Olímpia,,"R$ 1.167.853,83","R$ 1.175.554,64",Concluído,17/12/2019,07/05/2020,26/09/2025,"48.400,00","R. Londrina, 51, Nova Olímpia - PR, 87490-000","-23,46832050","-53,08430060",,,5.834
2025,Nova Tebas,,"R$ 1.313.292,50",-,,,,,"101.626,66","Nova Tebas, PR, 85250-000","-24,444374839347475","-51,93955297180505",,,6.848
2023,Ouro Verde do Oeste,,"R$ 2.048.298,57","R$ 2.048.298,57",Em Andamento,24/11/2023,06/03/2024,-,"28.850,18","R. Natal, 397, Ouro Verde do Oeste - PR, 85933-000","-24,76732300","-53,90930200",,,6.808
2025,Paiçandu,,"R$ 2.985.590,40",-,,,,,"17.133,85","Paiçandu, PR, 87140-000","-23,453033829407712","-52,04930289",,,49.999
2019,Perobal,,"R$ 999.330,49","R$ 1.053.048,19",Concluído,13/12/2019,14/08/2020,10/04/2023,"58.566,53","R. Alecrim, S/N, Perobal - PR, 87538-000","-23,89670020","-53,40802730",Git,,7.132
2025,Pérola,,"R$ 1.042.845,57",-,,,,,"12.480,00","R. Anjico, Pérola - PR, 87540-000","-23,797024958214234","-53,68461033",,,11.885
2020,Pitanga,,"R$ 1.499.997,21","R$ 2.147.131,91",Concluído,13/05/2020,17/07/2020,04/07/2025,"24.799,84","Av. Matilde Martins Orane, 1190, CEP:85200-000","-24,76147600","-51,77740200",,,33.640
2025,Planaltina do Paraná,,"R$ 2.161.798,94",-,,,,,"20.000,00","Planaltina do Paraná, PR - 87860-000","-23,019703959361706","-52,92905789935649",,,4.063
2025,Porto Amazonas,,"R$ 2.934.187,82",-,,,,,"56.639,65",R. Jesuíno Marcondes - Porto Amazonas - PR,"-25,550527968766197","-49,89291520622124",,,5.543
2025,Porto Amazonas (Ponte Preta),,"R$ 2.233.314,36",-,,,,,"19.675,69","Porto Amazonas - PR, 83750-000","-25,54348966708098","-49,87720188365603",,,5.543
2019,Primeiro de Maio,,"R$ 590.872,63","R$ 715.592,96",Concluído,13/12/2019,20/07/2020,13/06/2023,"57.854,72","Av. dos Trabalhadores - Primeiro de Maio, PR, 86140-000","-22,85597840","-51,02085730",,,10.239
2021,Quatiguá,,"R$ 529.392,30","R$ 529.392,30",Concluído,02/12/2021,31/08/2022,11/06/2025,"8.834,57","R. Luiz Tramontin, CEP: 86450-000","-23,57773100","-49,90846200",,,8.092
2020,Quatro Barras,,"R$ 925.741,21","R$ 1.164.638,83",Concluído,30/06/2020,10/02/2021,30/05/2023,"4.469,53","R. Izahir Lago, 1596 - Borda do Campo, CEP: 83420-000","-25,39362100","-49,02208900",,,26.452
2024,Quedas do Iguaçu,,"R$ 2.344.774,80","R$ 2.344.774,80",Em Andamento,24/05/2024,12/12/2024,-,"22.985,00","Avenida Ipê, Quedas do Iguaçu - PR, 85460-000","-25,44342200","-52,89382600",,,30.785
2021,Querência do Norte,Parque Juriti,"R$ 1.193.854,65","R$ 1.193.854,65",Em Andamento,09/12/2021,04/07/2023,-,"239.191,21","R. Santa Catarina, CEP:87930-000","-23,09164300","-53,50240900",,,10.708
2020,Rondon,,"R$ 567.532,72","R$ 625.775,69",Concluído,14/05/2020,01/03/2021,06/03/2023,"30.000,00","Rua Helena Oliveira do Amaral - Jardim Vale Verde, CEP: 87800-000","-23,41007600","-52,74996500",,,9.093
2021,Santa Cecília do Pavão,,-,"R$ 1.452.179,37",Em Andamento,-,-,-,"30.250,00","Av. Gen. Osório, 86, CEP: 86225-000","-23,51380400","-50,78747200",,,3.361
2021,Santa Cruz do Monte Castelo,,"R$ 1.959.432,63","R$ 1.959.432,63",Em Andamento,02/09/2021,22/07/2022,-,"11.790,00",(Sem endereço listado),"-22,96863000","-53,29080300",,,
2019,Santa Isabel do Ivaí,,"R$ 1.617.216,02","R$ 1.630.943,40",Concluído,13/12/2019,18/06/2020,13/07/2022,"14.000,00","Santa Isabel do Ivaí, PR, 87910-000","-23,00720020","-53,19789050",,,8.897
2025,Santa Mariana,,"R$ 1.934.887,48",-,,,,,"51.227,32","Santa Mariana - PR, 86350-000","-23,040529806214302","-50,57323936312438",,,11.111
2019,Santa Mônica,,"R$ 583.963,07","R$ 643.587,49",Concluído,13/12/2019,15/06/2020,01/07/2024,"34.120,00","R. Francisco Manoel da Silva - Santa Mônica, PR, 87915-000","-23,10379250","-53,11103750",,,3.357
2021,Santo Antônio da Platina,Parque Joaquim Geraldo Silva,"R$ 1.112.902,30","R$ 1.290.341,21",Concluído,09/12/2021,15/06/2022,27/02/2024,"15.086,92","R. José Batista Martins, Santo Antônio da Platina, PR, 86430-000","-23,29575400","-50,05755900",Git,"https://www.google.com/maps/place/Parque+Joaquim+Geraldo+Silva/@-23.2952296,-50.0580905,287m/data=!3m1!1e3!4m15!1m8!3m7!1s0x94ea822c8cda64f9:0x7632167156259b1d!2sR.+Sebasti%C3%A3o+de+Oliveira+-+Santo+Ant%C3%B4nio+da+Platina,+PR,+86430-000!3b1!8m2!3d-23.2946511!4d-50.0575283!16s%2Fg%2F11fzv9qdf2!3m5!1s0x94ea8350b7337db7:0x6d2a722c772c915a!8m2!3d-23.2957981!4d-50.057633!16s%2Fg%2F11vbtpv9lw?entry=ttu&g_ep=EgoyMDI2MDMyMy4xIKXMDSoASAFQAw%3D%3D",45.261
2021,Santo Antônio do Sudoeste,,"R$ 1.615.441,52","R$ 1.617.705,60",Em Andamento,09/12/2021,17/06/2022,-,"53.948,07","Santo Antônio do Sudoeste, PR, 85710-000","-26,05983000","-53,71671700",,,19.677
2019,São João,,"R$ 492.896,43","R$ 492.896,43",Concluído,17/12/2019,28/04/2020,05/11/2021,"35.632,47","R. Santo Antonio, 36 - São João, PR, 85570-000","-25,82216730","-52,72370220",,,11.683
2020,São João do Ivaí,,"R$ 1.256.568,44","R$ 1.446.402,78",Concluído,13/05/2020,22/06/2020,22/08/2024,"84.828,17",R. Hugo Frigueto,"-23,99468900","-51,81010800",,,10.665
2019,São Tomé,,"R$ 1.063.437,62","R$ 1.063.437,62",Concluído,17/12/2019,09/06/2020,28/03/2023,"57.213,92","Estrada do Rodeio, São Tomé - PR, 87220-000","-23,54811400","-52,58867240",,,5.385
